iteration,Search Options,ntasks,error,elapsed,account,max-witness-size,max-rss,error-output,all-states,Flags,start,conjecture-status,time,job-id,input, Search Type,ChromaticNumber,job-name,status,mem-per-cpu,cpus-per-task,script-file,command,ntasks-per-node,width,finish
7, ,1,,00:00:01,NN9535K,5,0,,8, -pl -pdbgn ,Thu Dec 23 13:33:13 CET 2021,"Conjecture: Satisfied
",14-00:00:00,4732471,../../inputs/ChromaticNumber_4,IsomorphismBreadthFirstSearch,4,26269667,DONE,2G,1,/cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../jobs/26269667.sh,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_4.txt > /cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../program-outputs/26269667.txt,1, tw = 2,23 13:33:14 CET 2021
7,-premise,1,,00:00:01,NN9535K,5,0,,8, -pl -pdbgn ,Thu Dec 23 13:33:13 CET 2021,"Conjecture: Satisfied
",14-00:00:00,4732472,../../inputs/ChromaticNumber_4,IsomorphismBreadthFirstSearch,4,26269672,DONE,2G,1,/cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../jobs/26269672.sh,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_4.txt > /cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../program-outputs/26269672.txt,1, tw = 2,23 13:33:14 CET 2021
9, ,1,,00:00:05,NN9535K,15,0,,19, -pl -pdbgn ,Thu Dec 23 13:33:13 CET 2021,"Conjecture: Satisfied
",14-00:00:00,4732473,../../inputs/ChromaticNumber_4,IsomorphismBreadthFirstSearch,4,26269677,DONE,4G,1,/cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../jobs/26269677.sh,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_4.txt > /cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../program-outputs/26269677.txt,1, tw = 3,23 13:33:19 CET 2021
9,-premise,1,,00:00:05,NN9535K,15,0,,19, -pl -pdbgn ,Thu Dec 23 13:33:14 CET 2021,"Conjecture: Satisfied
",14-00:00:00,4732474,../../inputs/ChromaticNumber_4,IsomorphismBreadthFirstSearch,4,26269681,DONE,4G,1,/cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../jobs/26269681.sh,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_4.txt > /cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../program-outputs/26269681.txt,1, tw = 3,23 13:33:19 CET 2021
7, ,1,,00:00:03,NN9535K,1,0,,12, -pl -pdbgn ,Wed Jan 19 16:37:45 CET 2022,"Conjecture: Satisfied
",14-00:00:00,4875975,../../inputs/ChromaticNumber_1,IsomorphismBreadthFirstSearch,1,60649954,DONE,4G,1,/cluster/projects/nn9535k/farhad/2022/jan19/chromatic-number-iso-bfs-tw/main-script/job-generation/../../jobs/60649954.sh,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 4  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2022/jan19/chromatic-number-iso-bfs-tw/main-script/job-generation/../../program-outputs/60649954.txt,1, tw = 4,19 16:37:48 CET 2022
6,-premise,1,,00:00:03,NN9535K,1,0,,6, -pl -pdbgn ,Wed Jan 19 16:37:45 CET 2022,"Conjecture: Satisfied
",14-00:00:00,4875976,../../inputs/ChromaticNumber_1,IsomorphismBreadthFirstSearch,1,60649961,DONE,4G,1,/cluster/projects/nn9535k/farhad/2022/jan19/chromatic-number-iso-bfs-tw/main-script/job-generation/../../jobs/60649961.sh,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 4  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2022/jan19/chromatic-number-iso-bfs-tw/main-script/job-generation/../../program-outputs/60649961.txt,1, tw = 4,19 16:37:48 CET 2022
12, ,1,,00:01:27,NN9535K,16,1076K,,45, -pl -pdbgn ,Wed Jan 19 16:37:45 CET 2022,"Conjecture: Satisfied
",14-00:00:00,4875977,../../inputs/ChromaticNumber_2,IsomorphismBreadthFirstSearch,2,60649966,DONE,4G,1,/cluster/projects/nn9535k/farhad/2022/jan19/chromatic-number-iso-bfs-tw/main-script/job-generation/../../jobs/60649966.sh,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 4  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2022/jan19/chromatic-number-iso-bfs-tw/main-script/job-generation/../../program-outputs/60649966.txt,1, tw = 4,19 16:39:12 CET 2022
12,-premise,1,,00:01:24,NN9535K,16,1072K,,39, -pl -pdbgn ,Wed Jan 19 16:37:45 CET 2022,"Conjecture: Satisfied
",14-00:00:00,4875978,../../inputs/ChromaticNumber_2,IsomorphismBreadthFirstSearch,2,60649971,DONE,4G,1,/cluster/projects/nn9535k/farhad/2022/jan19/chromatic-number-iso-bfs-tw/main-script/job-generation/../../jobs/60649971.sh,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 4  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2022/jan19/chromatic-number-iso-bfs-tw/main-script/job-generation/../../program-outputs/60649971.txt,1, tw = 4,19 16:39:09 CET 2022
14, ,1,"slurmstepd: error: *** JOB 4875979 ON c3-56 CANCELLED AT 2022-02-02T16:37:59 DUE TO TIME LIMIT ***
",14-00:00:1,NN9535K,41,11004K,Error,9945, -pl -pdbgn ,Wed Jan 19 16:37:45 CET 2022,Not Finished,14-00:00:00,4875979,../../inputs/ChromaticNumber_3,IsomorphismBreadthFirstSearch,3,60649975,DONE,4G,1,/cluster/projects/nn9535k/farhad/2022/jan19/chromatic-number-iso-bfs-tw/main-script/job-generation/../../jobs/60649975.sh,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 4  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2022/jan19/chromatic-number-iso-bfs-tw/main-script/job-generation/../../program-outputs/60649975.txt,1, tw = 4,2 16:38:03 CET 2022
14,-premise,1,"slurmstepd: error: *** JOB 4875980 ON c3-56 CANCELLED AT 2022-02-02T16:37:59 DUE TO TIME LIMIT ***
",14-00:00:1,NN9535K,41,11004K,Error,9939, -pl -pdbgn ,Wed Jan 19 16:37:45 CET 2022,Not Finished,14-00:00:00,4875980,../../inputs/ChromaticNumber_3,IsomorphismBreadthFirstSearch,3,60649980,DONE,4G,1,/cluster/projects/nn9535k/farhad/2022/jan19/chromatic-number-iso-bfs-tw/main-script/job-generation/../../jobs/60649980.sh,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 4  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2022/jan19/chromatic-number-iso-bfs-tw/main-script/job-generation/../../program-outputs/60649980.txt,1, tw = 4,2 16:38:04 CET 2022
14, ,1,"slurmstepd: error: *** JOB 4875981 ON c3-56 CANCELLED AT 2022-02-02T16:37:59 DUE TO TIME LIMIT ***
",14-00:00:1,NN9535K,51,4976K,Error,2444, -pl -pdbgn ,Wed Jan 19 16:37:45 CET 2022,Not Finished,14-00:00:00,4875981,../../inputs/ChromaticNumber_4,IsomorphismBreadthFirstSearch,4,60649984,DONE,4G,1,/cluster/projects/nn9535k/farhad/2022/jan19/chromatic-number-iso-bfs-tw/main-script/job-generation/../../jobs/60649984.sh,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 4  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_4.txt > /cluster/projects/nn9535k/farhad/2022/jan19/chromatic-number-iso-bfs-tw/main-script/job-generation/../../program-outputs/60649984.txt,1, tw = 4,2 16:38:04 CET 2022
14,-premise,1,"slurmstepd: error: *** JOB 4875982 ON c3-56 CANCELLED AT 2022-02-02T16:37:59 DUE TO TIME LIMIT ***
",14-00:00:1,NN9535K,51,5008K,Error,2438, -pl -pdbgn ,Wed Jan 19 16:37:45 CET 2022,Not Finished,14-00:00:00,4875982,../../inputs/ChromaticNumber_4,IsomorphismBreadthFirstSearch,4,60649988,DONE,4G,1,/cluster/projects/nn9535k/farhad/2022/jan19/chromatic-number-iso-bfs-tw/main-script/job-generation/../../jobs/60649988.sh,/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 4  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_4.txt > /cluster/projects/nn9535k/farhad/2022/jan19/chromatic-number-iso-bfs-tw/main-script/job-generation/../../program-outputs/60649988.txt,1, tw = 4,2 16:38:03 CET 2022
