Search Options,job-id,account,max-rss,elapsed,max-witness-size,error,all-states,ntasks-per-node,finish,job-name,iteration,status,mem-per-cpu,start,cpus-per-task,Flags,input,error-output,CliqueNumberSimpleGraphs,width,command,time,conjecture-status,ntasks, Search Type,script-file
 ,4735893,NN9535K,4093724K,14-00:00:2,35,"slurmstepd: error: *** JOB 4735893 ON c3-53 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",1680971,1,7 13:28:49 CET 2022,34581190,25,DONE,4G,Fri Dec 24 12:49:56 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_4,Error,4, pw = 4,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 4  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581190.txt,14-00:00:00,Not Finished,1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581190.sh
-premise,4735894,NN9535K,4094928K,14-00:00:2,35,"slurmstepd: error: *** JOB 4735894 ON c3-53 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",1680965,1,7 13:28:50 CET 2022,34581194,25,DONE,4G,Fri Dec 24 12:49:57 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_4,Error,4, pw = 4,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 4  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581194.txt,14-00:00:00,Not Finished,1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581194.sh
 ,4735895,NN9535K,896852K,14-00:00:2,71,"slurmstepd: error: *** JOB 4735895 ON c3-53 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",136361,1,7 13:28:48 CET 2022,34581198,18,DONE,4G,Fri Dec 24 12:49:57 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_4,Error,4, pw = 5,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 5  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581198.txt,14-00:00:00,Not Finished,1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581198.sh
-premise,4735896,NN9535K,897616K,14-00:00:2,71,"slurmstepd: error: *** JOB 4735896 ON c3-53 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",136356,1,7 13:28:50 CET 2022,34581202,18,DONE,4G,Fri Dec 24 12:49:57 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_4,Error,4, pw = 5,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 5  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581202.txt,14-00:00:00,Not Finished,1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581202.sh
 ,4735897,NN9535K,216916K,14-00:00:2,135,"slurmstepd: error: *** JOB 4735897 ON c3-53 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",12679,1,7 13:28:50 CET 2022,34581207,15,DONE,4G,Fri Dec 24 12:49:57 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_4,Error,4, pw = 6,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 6  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581207.txt,14-00:00:00,Not Finished,1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581207.sh
-premise,4735898,NN9535K,216848K,14-00:00:2,135,"slurmstepd: error: *** JOB 4735898 ON c3-53 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",12678,1,7 13:28:50 CET 2022,34581211,15,DONE,4G,Fri Dec 24 12:49:57 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_4,Error,4, pw = 6,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 6  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581211.txt,14-00:00:00,Not Finished,1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581211.sh
 ,4735899,NN9535K,129788K,14-00:00:2,239,"slurmstepd: error: *** JOB 4735899 ON c3-53 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",5408,1,7 13:28:49 CET 2022,34581215,14,DONE,4G,Fri Dec 24 12:49:57 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_4,Error,4, pw = 7,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 7  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581215.txt,14-00:00:00,Not Finished,1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581215.sh
-premise,4735900,NN9535K,129404K,14-00:00:2,239,"slurmstepd: error: *** JOB 4735900 ON c3-53 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",5408,1,7 13:28:49 CET 2022,34581219,14,DONE,4G,Fri Dec 24 12:49:57 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_4,Error,4, pw = 7,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 7  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581219.txt,14-00:00:00,Not Finished,1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581219.sh
 ,4735901,NN9535K,0,00:00:00,4,,9,1,24 12:50:00 CET 2021,34581224,9,DONE,2G,Fri Dec 24 12:49:56 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_5,,5, pw = 1,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_5.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581224.txt,14-00:00:00,"Conjecture: Satisfied
",1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581224.sh
-premise,4735902,NN9535K,0,00:00:00,4,,9,1,24 12:49:59 CET 2021,34581228,9,DONE,2G,Fri Dec 24 12:49:56 CET 2021,1, -pl -pdbgn ,../../inputs/CliqueNumberSimpleGraphs_5,,5, pw = 1,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   pw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_5.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../program-outputs/34581228.txt,14-00:00:00,"Conjecture: Satisfied
",1,IsomorphismBreadthFirstSearch,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-pw/main-script/job-generation/../../jobs/34581228.sh
