script-file,Search Options,iteration,input,max-witness-size,error-output,time,status,mem-per-cpu,width,cpus-per-task,max-rss,ntasks-per-node,all-states,finish,ChromaticNumber,error,ntasks,account,job-name, Search Type,job-id,command,start,conjecture-status,Flags,elapsed
/cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../jobs/58085577.sh, ,9,../../inputs/ChromaticNumber_5,5,,1-00:00:00,DONE,16G, pw = 2,1,0,1,8,15 16:18:08 CET 2021,5,,1,NN9535K,58085577,IsomorphismBreadthFirstSearch,4660829,/cluster/home/farhadvadiee/2021/15dec/chromatic-number/Build/./treewidzard -search   pw = 2  -pl    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_5.txt > /cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../program-outputs/58085577.txt,Wed Dec 15 16:18:05 CET 2021,"Conjecture: Satisfied
", -pl ,00:00:01
/cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../jobs/58085581.sh,-premise,7,../../inputs/ChromaticNumber_5,5,,1-00:00:00,DONE,16G, pw = 2,1,0,1,18,15 16:18:08 CET 2021,5,,1,NN9535K,58085581,BreadthFirstSearch,4660830,/cluster/home/farhadvadiee/2021/15dec/chromatic-number/Build/./treewidzard -search   pw = 2  -pl  -premise BreadthFirstSearch ../../inputs/ChromaticNumber_5.txt > /cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../program-outputs/58085581.txt,Wed Dec 15 16:18:05 CET 2021,"Conjecture: Satisfied
", -pl ,00:00:01
/cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../jobs/58085585.sh,-premise,9,../../inputs/ChromaticNumber_5,5,,1-00:00:00,DONE,16G, pw = 2,1,0,1,8,15 16:18:07 CET 2021,5,,1,NN9535K,58085585,IsomorphismBreadthFirstSearch,4660831,/cluster/home/farhadvadiee/2021/15dec/chromatic-number/Build/./treewidzard -search   pw = 2  -pl  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_5.txt > /cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../program-outputs/58085585.txt,Wed Dec 15 16:18:05 CET 2021,"Conjecture: Satisfied
", -pl ,00:00:02
/cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../jobs/58085589.sh, ,11,../../inputs/ChromaticNumber_5,15,,1-00:00:00,DONE,32G, pw = 3,1,0,1,113,15 16:18:07 CET 2021,5,,1,NN9535K,58085589,BreadthFirstSearch,4660832,/cluster/home/farhadvadiee/2021/15dec/chromatic-number/Build/./treewidzard -search   pw = 3  -pl    BreadthFirstSearch ../../inputs/ChromaticNumber_5.txt > /cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../program-outputs/58085589.txt,Wed Dec 15 16:18:06 CET 2021,"Conjecture: Satisfied
", -pl ,00:00:02
/cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../jobs/58085595.sh, ,14,../../inputs/ChromaticNumber_5,15,,1-00:00:00,DONE,32G, pw = 3,1,0,1,19,15 16:18:08 CET 2021,5,,1,NN9535K,58085595,IsomorphismBreadthFirstSearch,4660833,/cluster/home/farhadvadiee/2021/15dec/chromatic-number/Build/./treewidzard -search   pw = 3  -pl    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_5.txt > /cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../program-outputs/58085595.txt,Wed Dec 15 16:18:06 CET 2021,"Conjecture: Satisfied
", -pl ,00:00:02
/cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../jobs/58085599.sh,-premise,11,../../inputs/ChromaticNumber_5,15,,1-00:00:00,DONE,32G, pw = 3,1,0,1,113,15 16:18:07 CET 2021,5,,1,NN9535K,58085599,BreadthFirstSearch,4660834,/cluster/home/farhadvadiee/2021/15dec/chromatic-number/Build/./treewidzard -search   pw = 3  -pl  -premise BreadthFirstSearch ../../inputs/ChromaticNumber_5.txt > /cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../program-outputs/58085599.txt,Wed Dec 15 16:18:06 CET 2021,"Conjecture: Satisfied
", -pl ,00:00:02
/cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../jobs/58085603.sh,-premise,14,../../inputs/ChromaticNumber_5,15,,1-00:00:00,DONE,32G, pw = 3,1,0,1,19,15 16:18:08 CET 2021,5,,1,NN9535K,58085603,IsomorphismBreadthFirstSearch,4660835,/cluster/home/farhadvadiee/2021/15dec/chromatic-number/Build/./treewidzard -search   pw = 3  -pl  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_5.txt > /cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../program-outputs/58085603.txt,Wed Dec 15 16:18:06 CET 2021,"Conjecture: Satisfied
", -pl ,00:00:02
/cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../jobs/58085607.sh, ,16,../../inputs/ChromaticNumber_5,52,,1-00:00:00,DONE,32G, pw = 4,1,0,1,1450,15 16:18:16 CET 2021,5,,1,NN9535K,58085607,BreadthFirstSearch,4660836,/cluster/home/farhadvadiee/2021/15dec/chromatic-number/Build/./treewidzard -search   pw = 4  -pl    BreadthFirstSearch ../../inputs/ChromaticNumber_5.txt > /cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../program-outputs/58085607.txt,Wed Dec 15 16:18:05 CET 2021,"Conjecture: Satisfied
", -pl ,00:00:11
/cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../jobs/58085611.sh, ,20,../../inputs/ChromaticNumber_5,52,,1-00:00:00,DONE,32G, pw = 4,1,0,1,53,15 16:18:22 CET 2021,5,,1,NN9535K,58085611,IsomorphismBreadthFirstSearch,4660837,/cluster/home/farhadvadiee/2021/15dec/chromatic-number/Build/./treewidzard -search   pw = 4  -pl    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_5.txt > /cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../program-outputs/58085611.txt,Wed Dec 15 16:18:05 CET 2021,"Conjecture: Satisfied
", -pl ,00:00:17
/cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../jobs/58085615.sh,-premise,16,../../inputs/ChromaticNumber_5,52,,1-00:00:00,DONE,32G, pw = 4,1,0,1,1450,15 16:18:47 CET 2021,5,,1,NN9535K,58085615,BreadthFirstSearch,4660838,/cluster/home/farhadvadiee/2021/15dec/chromatic-number/Build/./treewidzard -search   pw = 4  -pl  -premise BreadthFirstSearch ../../inputs/ChromaticNumber_5.txt > /cluster/projects/nn9535k/farhad/2021/15dec/chromatic-number/main-script/job-generation/../../program-outputs/58085615.txt,Wed Dec 15 16:18:35 CET 2021,"Conjecture: Satisfied
", -pl ,00:00:11
