command,mem-per-cpu,job-id,status,finish,start,input,ntasks-per-node,max-rss,Flags,cpus-per-task,time,Search Options,elapsed,script-file,conjecture-status,error-output,job-name,ntasks,account,max-witness-size,MaxDegree,width,iteration, Search Type,error,all-states
/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_4.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386250.txt,2G,4732731,DONE,23 13:53:49 CET 2021,Thu Dec 23 13:53:46 CET 2021,../../inputs/MaxDegree_4,1,0, -pl -pdbgn ,1,14-00:00:00, ,00:00:04,/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386250.sh,"Conjecture: Satisfied
",,26386250,1,NN9535K,1,4, tw = 2,9,IsomorphismBreadthFirstSearch,,60
/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_4.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386256.txt,2G,4732732,DONE,23 13:53:49 CET 2021,Thu Dec 23 13:53:46 CET 2021,../../inputs/MaxDegree_4,1,0, -pl -pdbgn ,1,14-00:00:00,-premise,00:00:03,/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386256.sh,"Conjecture: Satisfied
",,26386256,1,NN9535K,1,4, tw = 2,9,IsomorphismBreadthFirstSearch,,56
/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_4.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386260.txt,4G,4732733,DONE,23 13:55:12 CET 2021,Thu Dec 23 13:53:45 CET 2021,../../inputs/MaxDegree_4,1,1440K, -pl -pdbgn ,1,14-00:00:00, ,00:01:26,/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386260.sh,"Conjecture: Satisfied
",,26386260,1,NN9535K,1,4, tw = 3,10,IsomorphismBreadthFirstSearch,,131
/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_4.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386265.txt,4G,4732734,DONE,23 13:55:05 CET 2021,Thu Dec 23 13:53:45 CET 2021,../../inputs/MaxDegree_4,1,1452K, -pl -pdbgn ,1,14-00:00:00,-premise,00:01:20,/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386265.sh,"Conjecture: Satisfied
",,26386265,1,NN9535K,1,4, tw = 3,10,IsomorphismBreadthFirstSearch,,126
/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 4  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_1.txt > /cluster/projects/nn9535k/farhad/2022/jan19/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/60720738.txt,2G,4876016,DONE,19 16:47:57 CET 2022,Wed Jan 19 16:47:46 CET 2022,../../inputs/MaxDegree_1,1,0, -pl -pdbgn ,1,14-00:00:00, ,00:00:11,/cluster/projects/nn9535k/farhad/2022/jan19/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/60720738.sh,"Conjecture: Satisfied
",,60720738,1,NN9535K,1,1, tw = 4,10,IsomorphismBreadthFirstSearch,,27
/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 4  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_1.txt > /cluster/projects/nn9535k/farhad/2022/jan19/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/60720743.txt,2G,4876017,DONE,19 16:47:55 CET 2022,Wed Jan 19 16:47:46 CET 2022,../../inputs/MaxDegree_1,1,0, -pl -pdbgn ,1,14-00:00:00,-premise,00:00:09,/cluster/projects/nn9535k/farhad/2022/jan19/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/60720743.sh,"Conjecture: Satisfied
",,60720743,1,NN9535K,1,1, tw = 4,10,IsomorphismBreadthFirstSearch,,21
/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 4  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2.txt > /cluster/projects/nn9535k/farhad/2022/jan19/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/60720748.txt,2G,4876018,DONE,19 16:50:00 CET 2022,Wed Jan 19 16:47:46 CET 2022,../../inputs/MaxDegree_2,1,1236K, -pl -pdbgn ,1,14-00:00:00, ,00:02:14,/cluster/projects/nn9535k/farhad/2022/jan19/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/60720748.sh,"Conjecture: Satisfied
",,60720748,1,NN9535K,1,2, tw = 4,10,IsomorphismBreadthFirstSearch,,62
/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 4  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2.txt > /cluster/projects/nn9535k/farhad/2022/jan19/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/60720753.txt,2G,4876019,DONE,19 16:49:50 CET 2022,Wed Jan 19 16:47:46 CET 2022,../../inputs/MaxDegree_2,1,1236K, -pl -pdbgn ,1,14-00:00:00,-premise,00:02:03,/cluster/projects/nn9535k/farhad/2022/jan19/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/60720753.sh,"Conjecture: Satisfied
",,60720753,1,NN9535K,1,2, tw = 4,10,IsomorphismBreadthFirstSearch,,56
/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 4  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3.txt > /cluster/projects/nn9535k/farhad/2022/jan19/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/60720758.txt,2G,4876020,DONE,19 17:09:34 CET 2022,Wed Jan 19 16:47:46 CET 2022,../../inputs/MaxDegree_3,1,1796K, -pl -pdbgn ,1,14-00:00:00, ,00:21:47,/cluster/projects/nn9535k/farhad/2022/jan19/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/60720758.sh,"Conjecture: Satisfied
",,60720758,1,NN9535K,1,3, tw = 4,11,IsomorphismBreadthFirstSearch,,132
/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 4  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3.txt > /cluster/projects/nn9535k/farhad/2022/jan19/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/60720762.txt,2G,4876021,DONE,19 17:09:06 CET 2022,Wed Jan 19 16:47:46 CET 2022,../../inputs/MaxDegree_3,1,1788K, -pl -pdbgn ,1,14-00:00:00,-premise,00:21:20,/cluster/projects/nn9535k/farhad/2022/jan19/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/60720762.sh,"Conjecture: Satisfied
",,60720762,1,NN9535K,1,3, tw = 4,11,IsomorphismBreadthFirstSearch,,126
/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 4  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_4.txt > /cluster/projects/nn9535k/farhad/2022/jan19/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/60720767.txt,2G,4876022,DONE,19 19:55:00 CET 2022,Wed Jan 19 16:47:47 CET 2022,../../inputs/MaxDegree_4,1,3132K, -pl -pdbgn ,1,14-00:00:00, ,03:07:14,/cluster/projects/nn9535k/farhad/2022/jan19/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/60720767.sh,"Conjecture: Satisfied
",,60720767,1,NN9535K,1,4, tw = 4,11,IsomorphismBreadthFirstSearch,,258
/cluster/home/farhadvadiee/2022/jan19/program/Build/./treewidzard -search   tw = 4  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_4.txt > /cluster/projects/nn9535k/farhad/2022/jan19/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/60720772.txt,2G,4876023,DONE,19 19:49:33 CET 2022,Wed Jan 19 16:47:47 CET 2022,../../inputs/MaxDegree_4,1,3128K, -pl -pdbgn ,1,14-00:00:00,-premise,03:01:47,/cluster/projects/nn9535k/farhad/2022/jan19/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/60720772.sh,"Conjecture: Satisfied
",,60720772,1,NN9535K,1,4, tw = 4,11,IsomorphismBreadthFirstSearch,,252
